"filename", "language", "vue", "TypeScript", "SCSS", "comment", "blank", "total"
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\views\application\application-detail.scss", "SCSS", 0, 0, 10, 0, 2, 12
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\views\application\components\StepOneBasicInfo.vue", "vue", 149, 0, 0, 14, 21, 184
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\views\application\components\StepThreeSubmitSuccess.vue", "vue", 1, 0, 0, 0, 0, 1
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\views\application\components\StepTwoUploadFile.vue", "vue", -92, 0, 0, 3, 2, -87
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\views\application\components\constants.ts", "TypeScript", 0, 21, 0, 10, 3, 34
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\views\application\components\types.ts", "TypeScript", 0, 25, 0, 0, 6, 31
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\views\application\components\useApprovalRoute.ts", "TypeScript", 0, 233, 0, 9, 35, 277
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\views\application\components\useCitySelection.ts", "TypeScript", 0, 135, 0, 3, 13, 151
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\views\application\components\useSecurityLevel.ts", "TypeScript", 0, 90, 0, 0, 16, 106
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\views\approvals\ApprovalDetailView.vue", "vue", 9, 0, 0, 0, 0, 9
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\views\approvals\ApprovalListView.vue", "vue", -37, 0, 0, 0, -8, -45
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\views\download\DownloadListView.vue", "vue", 12, 0, 0, 4, -2, 14
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\views\transfer\TransferManageView.vue", "vue", -7, 0, 0, 0, 0, -7
"Total", "-", 627, 1816, 149, 505, 256, 3353
